gamma_above_loss,gamma_left_loss,gamma_below_loss,gamma_right_loss,D_loss,mean_loss,epoch,step
0.19426895678043365,0.057022787630558014,0.003532029688358307,0.005553644150495529,0.01388288289308548,0.05485205724835396,0,0
0.11184089630842209,0.027956606820225716,0.02777830697596073,0.0005570967914536595,0.01365720760077238,0.036358024924993515,1,1
0.05602042376995087,0.02115485444664955,0.07019410282373428,0.005985529161989689,0.01289594266563654,0.033250171691179276,2,2
0.029318392276763916,0.027070146054029465,0.10867498815059662,0.005309871397912502,0.011718256399035454,0.03641832619905472,3,3
0.022736934944987297,0.030452243983745575,0.1216370016336441,0.001158451079390943,0.011650613509118557,0.03752704709768295,4,4
0.026182672008872032,0.028218373656272888,0.11323489993810654,0.00016287066682707518,0.013205927796661854,0.03620094805955887,5,5
0.03547489270567894,0.024192174896597862,0.09545400738716125,0.002490995218977332,0.014724932610988617,0.03446739912033081,6,6
0.04803462699055672,0.021366210654377937,0.07689175754785538,0.004694547038525343,0.015141121111810207,0.0332256555557251,7,7
0.06109337881207466,0.020479446277022362,0.06176755204796791,0.004728405736386776,0.014470227994024754,0.03250780329108238,8,8
0.07207754999399185,0.020869463682174683,0.05129363387823105,0.0030106871854513884,0.013211444951593876,0.03209255635738373,9,9
